region,avgBall2019,avgBall2020,higherBallInYear
Львівська область                                 ,139.7006920415224913,141.4534510433386838,2020
Луганська область                                 ,130.2222222222222222,134.9329073482428115,2020
Сумська область                                   ,135.5500910746812386,139.5495495495495495,2020
Херсонська область                                ,136.2788259958071279,140.7472324723247232,2020
Полтавська область                                ,133.9678456591639871,138.4698972099853157,2020
Чернівецька область                               ,132.7566371681415929,138.2528301886792453,2020
Вінницька область                                 ,134.9370709382151030,136.8584392014519056,2020
Миколаївська область                              ,132.6120527306967985,134.2269043760129660,2020
Кіровоградська область                            ,133.8969696969696970,138.3684210526315789,2020
Житомирська область                               ,130.9750415973377704,134.5957120980091884,2020
м.Київ                                            ,145.0498834498834499,146.4199420769549028,2020
Дніпропетровська область                          ,135.3321878579610538,137.2865792129162462,2020
Волинська область                                 ,140.0631364562118126,141.0707964601769912,2020
Київська область                                  ,134.9744186046511628,135.5882352941176471,2020
Хмельницька область                               ,135.4361022364217252,139.3374233128834356,2020
Тернопільська область                             ,135.6968838526912181,137.3580246913580247,2020
Донецька область                                  ,132.1387614678899083,134.5475956820412169,2020
Запорізька область                                ,133.9121706398996236,133.5275938189845475,2019
Черкаська область                                 ,139.6089108910891089,137.8708206686930091,2019
Одеська область                                   ,129.0757695343330702,131.3191011235955056,2020
Рівненська область                                ,135.5162287480680062,140.4389574759945130,2020
Закарпатська область                              ,130.2088235294117647,133.5714285714285714,2020
Харківська область                                ,139.6262471220260936,139.2532097004279601,2019
Чернігівська область                              ,136.4781199351701783,140.0707236842105263,2020
Івано-Франківська область                         ,139.3519553072625698,139.8339100346020761,2020
